Title,Authors,Published Year,Library,Publication,Thematic Group,Musical Group,Musical Sub-Group,Review/Theoretical,Human Subject Method,Visually Disabled
3DJ: A supercollider framework for real-time sound spatialization,"Perez-Lopez, Andres",2015,Georgia tech,ICAD,design-space,,,review,,
After direct manipulation - direct sonification,"Fernstrom, Mikael; McNamara, Caolan",1998,Georgia tech,ICAD,vision,non-specified,,,x,
The sound of musicons: investigating the design of musically derived audio cues,"McLachlan, Ross; McGee-Lennon, Marilyn; Brewster, Stephen",2012,Georgia tech,ICAD,design,non-specified,,,x,
"Micro-narratives in sound design: Context, character, and caricature in waveform manipulation","Back, Maribeth; Des, D.",1996,Georgia tech,ICAD,design,,,review,,
Mapping inter-cardiovascular time-frequency coherence to harmonic tension in sonification of ensemble interaction between a COVID-19 patient and the medical team,"Frid, Emma; Orini, Michele; Martinelli, Giampaolo; Chew, Elaine",2021,Georgia tech,ICAD,medicine-nature,theoretical,two,,x,
"Auditory notification of customer actions in a virtual retail environment: Sound design, awareness and attention","Falkenberg, Kjetil; Frid, Emma; Eriksson, Martin Ljungdahl; Otterbring, Tobias; Daunfeldt, Sven-Olov",2021,Georgia tech,ICAD,movement-space,non-specified,,,x,
Handheld Device for Substitution From Vision to Audition,"Rouat, Jean; Lescal, Damien; Wood, Sean",2014,Georgia tech,ICAD,vision,theoretical,zero-one(par),,x,x
Sonification of Colour and Depth in a Mobility Aid for Blind People,"Pun, Thierry; Deville, Benoit; Bologna, Guido",2010,Georgia tech,ICAD,medicine-space-vision,theoretical,zero-one(par),,x,x
"The sound of our words: Singling, a textual sonification software","Morales, Esteban; James, Kedrick; Horst, Rachel; Takeda, Yuya; Yung, Effiam",2021,Georgia tech,ICAD,design,theoretical,zero-one(par),,,
From signal to substance and back: Insights from environmental sound research to auditory display design,"Gygi, Brian; Shafiro, Valeriy",2009,Georgia tech,ICAD,design,,,review,,
Sonification Sandbox Reconstruction: Software Standard for Auditory Graphs,"Davison, Benjamin K.; Walker, Bruce N.",2007,Georgia tech,ICAD,design,theoretical,zero-one(par),,,
Musical phrase-structured audio communication,"Hankinson, John CK; Edwards, Alistair DN",2000,Georgia tech,ICAD,design,theoretical,two,,x,
OpenSpace sonification: complementing visualization of the solar system with sound,"Elmquist, Elias; Ejdbo, Malin; Bock, Alexander; Rönnberg, Niklas",2021,Georgia tech,ICAD,nature-vision,theoretical,zero-one(par),,x,
Soundfields and soundscapes: Reifying auditory communities,"McGregor, I.; Crerar, A.; Benyon, D.; Macaulay, C.",2002,Georgia tech,ICAD,space,non-specified-theoretical,,theoretical,,
Learning Rates for Auditory Menus Enhanced with Spearcons Versus Earcons,"Palladino, Dianne K.; Walker, Bruce N.",2007,Georgia tech,ICAD,design,theoretical,zero,,x,
Testing the effectiveness of sonified graphs for education: A programmatic research project,"Bonebright, Terri L.; Nees, Mike A.; Connerley, Tayla T.; McCain, Glenn R.",2001,Georgia tech,ICAD,vision,theoretical,zero-one(par),,x,
Using Auditory Display Techniques to Enhance Decision Making And Perceive Changing Environmental Data Within a 3D Virtual Game Environment,"Broderick, James; Duggan, Jim; Redfern, Sam",2017,Georgia tech,ICAD,space,theoretical,zero-one(par),,x,
Sonification of 3D Scenes Using Personalized Spatial Audio to Aid Visually Impaired Persons,"Bujacz, Michal; Skulimowski, Piotr; Strumillo, Pawel",2011,Georgia tech,ICAD,medicine-space-vision,theoretical,zero-one(par),,x,x
Investigating effective methods of designing sonifications,"Quinton, Michael; McGregor, Iain; Benyon, David",2018,Georgia tech,ICAD,design,non-specified,,theoretical,x,
High-Resolution Analysis and Resynthesis of Environmental Impact Sounds,"Reissel, L. M.; Pai, Dinesh K.",2007,Georgia tech,ICAD,design-space,theoretical,zero-one(par),,,
Humanising data through sound: Res Extensae and a user-centric approach to data sonification,"Lenzi, Sara; Gleria, Francesca",2018,Georgia tech,ICAD,design,non-specified,,theoretical,x,
Sonification of Movement for Motor Skill Learning in a Novel Bimanual Task: Aesthetics and Retention Strategies,"Dyer, John; Stapleton, Paul; Rodger, Matthew",2016,Georgia tech,ICAD,movement,theoretical,two,,x,
CardioSounds: A portable system to sonify ECG rhythm disturbances in real-time,"Aldana Blanco, Andrea Lorena; Grautoff, Steffen; Hermann, Thomas",2018,Georgia tech,ICAD,medicine-vision,theoretical,zero-one(par),,x,
